quantity,value,expected
obs_all,0.302295386042198,0.3023
obs_lux,0.159862272503689,0.15986
obs_non,0.317120622568093,0.31712
prd_all,0.307377796786563,0.30738
prd_lux,0.213070549488582,0.21307
prd_non,0.317193823499485,0.31719
ll_base,1.12341156290551,1.12341
delta_1moment,-0.0283426515942607,-0.02834
ll_1moment,1.12333964161697,1.12334
delta_lux,-0.399079600937592,-0.39908
delta_non,-0.000398913027881157,-4e-04
ll_2moment,1.12244528466624,1.12245
gain_1moment_vs_base,7.19212885402776e-05,7e-05
gain_2moment_vs_1moment,0.000894356950729813,0.00089
