Delta_s,r_non_pub,r_lux_pub,public_share,candidate,EG,sdG,P_G_neg,p05,p95
-0.03,0.586960625206104,0.121349495974199,0.5,file2_vs_file1,0.0300781387628353,0.0062117080322734,0,0.0196702481117814,0.0401950575241616
-0.03,0.586960625206104,0.121349495974199,0.5,exactopt_vs_selected,0.0512902988644148,0.0201607466490094,0.00475,0.0173965498451026,0.0845271375135197
-0.03,0.586960625206104,0.121349495974199,0.7,file2_vs_file1,0.0300844089590612,0.00675795018624628,0,0.0187815665510699,0.041089514645623
-0.03,0.586960625206104,0.121349495974199,0.7,exactopt_vs_selected,0.0513067268314511,0.0219490327344298,0.009,0.0144156393067502,0.0875247023401258
-0.0295,0.583154302072592,0.123073907559546,0.5,file2_vs_file1,0.0295781726500138,0.00621175807053475,0,0.0191702481117814,0.0396950575241616
-0.0295,0.583154302072592,0.123073907559546,0.5,exactopt_vs_selected,0.0493239193436367,0.0197378981149022,0.00525,0.0161948850621583,0.0819009871906902
-0.0295,0.583154302072592,0.123073907559546,0.7,file2_vs_file1,0.029584455279312,0.00675801091077145,0,0.0182815665510699,0.040589514645623
-0.0295,0.583154302072592,0.123073907559546,0.7,exactopt_vs_selected,0.0493401117326246,0.0214884659994153,0.0105,0.0132016451223905,0.0847689124201953
-0.029,0.579347978939081,0.124798319144894,0.5,file2_vs_file1,0.0290781726500138,0.00621175807053475,0,0.0186702481117814,0.0391950575241617
-0.029,0.579347978939081,0.124798319144894,0.5,exactopt_vs_selected,0.0473985657599758,0.0193166483718201,0.0065,0.0150231958296161,0.0793140898763033
-0.029,0.579347978939081,0.124798319144894,0.7,file2_vs_file1,0.0290845015995628,0.00675807290467858,0,0.0177815665510699,0.0400895146456231
-0.029,0.579347978939081,0.124798319144894,0.7,exactopt_vs_selected,0.0474146435093068,0.021029914869372,0.013,0.0120832077483272,0.0821053560204139
-0.0285,0.57554165580557,0.126522730730242,0.5,file2_vs_file1,0.0285781726500138,0.00621175807053475,0,0.0181702481117813,0.0386950575241616
-0.0285,0.57554165580557,0.126522730730242,0.5,exactopt_vs_selected,0.0455141322914879,0.0188971914874115,0.007,0.0138663576892545,0.0767686645845395
-0.0285,0.57554165580557,0.126522730730242,0.7,file2_vs_file1,0.0285845479198135,0.00675813616793276,0,0.0172815665510699,0.0395895146456231
-0.0285,0.57554165580557,0.126522730730242,0.7,exactopt_vs_selected,0.0455300857561848,0.0205733159977301,0.01525,0.0110217150392019,0.0795050690579613
-0.028,0.571735332672058,0.128247142315589,0.5,file2_vs_file1,0.0280781726500138,0.00621175807053475,0,0.0176702481117813,0.0381950575241616
-0.028,0.571735332672058,0.128247142315589,0.5,exactopt_vs_selected,0.0436703895039396,0.0184794708458532,0.008,0.012699459690493,0.0741816026578744
-0.028,0.571735332672058,0.128247142315589,0.7,file2_vs_file1,0.0280845942400643,0.00675820070049831,0,0.0167815665510699,0.039089514645623
-0.028,0.571735332672058,0.128247142315589,0.7,exactopt_vs_selected,0.0436862091395625,0.0201186074830929,0.017,0.00997687116321015,0.0769437278477465
-0.0275,0.567929009538547,0.129971553900937,0.5,file2_vs_file1,0.0275781726500138,0.00621175807053474,0,0.0171702481117814,0.0376950575241617
-0.0275,0.567929009538547,0.129971553900937,0.5,exactopt_vs_selected,0.0418671148458837,0.0180634310868921,0.00975,0.0115790909028791,0.0716843620212201
-0.0275,0.567929009538547,0.129971553900937,0.7,file2_vs_file1,0.0275846405603151,0.00675826650233888,0,0.0162815665510699,0.038589514645623
