eta,depth,mcw,best_k,oof,interior,mins
0.02,10,10,1400,1.11979614546358,FALSE,2.61551456451416
0.03,10,10,900,1.12094366480251,TRUE,26.7490506490072
0.05,10,10,540,1.12557191538746,TRUE,27.1622211019198
0.02,10,20,1400,1.12610631584909,FALSE,2.52393000125885
0.03,8,10,1400,1.1273831879332,FALSE,2.30448143482208
0.02,8,10,1400,1.12758280890071,FALSE,2.35437614917755
0.03,10,20,1100,1.12838108498572,TRUE,28.6443529844284
0.05,8,10,700,1.12919186589179,TRUE,15.2070937514305
0.02,8,20,1400,1.13107997587493,FALSE,2.35703076521556
0.05,10,20,540,1.13127373970626,TRUE,28.4699517170588
0.03,8,20,1400,1.13193471094642,FALSE,2.2738533337911
0.02,10,40,1400,1.13334228975698,FALSE,2.44881290197372
0.03,10,40,900,1.13474365525807,TRUE,19.7934514681498
0.05,6,10,1100,1.13547552492591,TRUE,18.0609586159388
0.05,8,20,900,1.13551016836878,TRUE,28.1453702966372
0.03,6,10,1400,1.13563544812914,FALSE,2.11325320005417
0.02,8,40,1400,1.1373098674319,FALSE,2.27161389986674
0.02,6,10,1400,1.13742720758545,FALSE,2.19317598342896
0.03,6,20,1400,1.1380192165382,FALSE,2.10146625041962
0.03,8,40,1100,1.13830175447239,TRUE,2.23722421725591
0.05,10,40,540,1.13857227529006,TRUE,33.4784021337827
0.05,6,20,1100,1.13896613734035,TRUE,6.93077903191249
0.02,6,20,1400,1.13928236184742,FALSE,2.14996188481649
0.05,8,40,540,1.14013220227819,TRUE,34.8517997662226
0.03,6,40,1400,1.14158235000054,FALSE,2.08540431658427
0.02,6,40,1400,1.14175875769128,FALSE,2.10963935057322
0.05,6,40,900,1.14206053400393,TRUE,21.2449455181758
